shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
54,58,2025-12-05,,BlueDart,Delivered
55,59,2023-03-22,,BlueDart,Delivered
56,60,2025-05-23,,UPS,Delivered
57,61,2025-10-24,,DHL,Delivered
58,62,2023-09-03,,DHL,Delivered
59,64,2025-02-21,,UPS,Delivered
60,65,2025-10-10,,FedEx,Delivered
61,66,2024-05-07,,DHL,Delivered
62,67,2024-03-27,,DHL,Delivered
63,68,2023-04-05,,DHL,Delivered
64,69,2025-03-21,,UPS,Delivered
65,70,2024-10-04,,DHL,Delivered
66,71,2024-06-26,,FedEx,Delivered
67,72,2025-03-19,,DHL,Delivered
68,73,2025-06-20,2025-06-25,DTDC,Returned
69,74,2023-11-16,,UPS,Delivered
70,75,2023-06-16,,DHL,Delivered
71,76,2024-02-28,,DHL,Delivered
72,77,2022-10-04,,FedEx,Delivered
73,78,2024-11-18,,BlueDart,Delivered
74,79,2025-04-06,,BlueDart,Delivered
75,80,2025-04-17,,BlueDart,Delivered
76,81,2023-05-26,,BlueDart,Delivered
77,82,2022-10-23,,DHL,Delivered
78,83,2022-10-05,,BlueDart,Delivered
79,84,2022-10-22,,DTDC,Delivered
80,85,2024-12-27,,UPS,Delivered
81,86,2025-04-16,,UPS,Delivered
82,87,2022-12-24,,DTDC,Delivered
83,88,2022-06-20,2022-06-25,UPS,Returned
84,89,2025-03-14,,BlueDart,Delivered
85,90,2025-04-26,,BlueDart,Delivered
86,91,2024-06-08,,DHL,Delivered
87,92,2024-11-20,,BlueDart,Delivered
88,93,2024-03-14,,DHL,Delivered
89,94,2022-10-16,,FedEx,Delivered
90,95,2022-10-28,,FedEx,Delivered
91,96,2022-04-11,,FedEx,Delivered
92,97,2024-11-02,,BlueDart,Delivered
93,100,2025-02-07,,DTDC,Delivered
94,101,2022-05-24,,DTDC,Delivered
95,102,2022-08-17,,DHL,Delivered
96,103,2023-07-28,,UPS,Delivered
97,104,2024-02-25,,DTDC,Delivered
98,105,2025-01-16,,FedEx,Delivered
99,106,2023-06-30,,FedEx,Delivered
100,107,2022-05-18,2022-05-23,DHL,Returned
101,109,2025-01-25,,DHL,Delivered
102,110,2024-07-20,2024-07-25,FedEx,Returned
103,111,2022-01-20,,DTDC,Delivered
104,112,2025-03-21,,BlueDart,Delivered
105,113,2025-03-08,,DTDC,Delivered
106,114,2022-05-03,,FedEx,Delivered
107,115,2025-08-17,,DTDC,Delivered
108,116,2024-05-10,,BlueDart,Delivered
109,117,2022-02-15,2022-02-20,DHL,Returned
110,118,2023-02-21,2023-02-26,UPS,Returned
111,119,2024-11-14,,FedEx,Delivered
112,120,2024-07-01,,BlueDart,Delivered
113,122,2022-08-12,,DTDC,Delivered
114,124,2025-09-07,,UPS,Delivered
115,126,2022-07-21,,DTDC,Delivered
116,127,2024-07-16,,UPS,Delivered
117,128,2025-01-29,,DTDC,Delivered
118,129,2025-09-15,,UPS,Delivered
119,130,2024-06-17,,DTDC,Delivered
120,131,2024-12-12,,UPS,Delivered
121,132,2022-11-18,,DTDC,Delivered
122,133,2023-01-12,,FedEx,Delivered
123,134,2024-04-02,,UPS,Delivered
124,135,2025-03-16,,DTDC,Delivered
125,136,2022-03-04,,FedEx,Delivered
126,137,2023-05-06,,DTDC,Delivered
127,139,2023-08-20,,BlueDart,Delivered
128,140,2023-07-22,,FedEx,Delivered
129,142,2022-12-14,2022-12-19,DTDC,Returned
130,143,2022-11-23,,DTDC,Delivered
131,144,2024-06-12,,FedEx,Delivered
132,145,2025-11-29,2025-12-04,BlueDart,Returned
133,147,2023-04-09,,DTDC,Delivered
134,148,2025-07-10,,DTDC,Delivered
135,150,2025-09-01,,DHL,Delivered
136,151,2022-09-10,,DHL,Delivered
137,152,2022-10-24,,FedEx,Delivered
138,153,2025-07-13,,UPS,Delivered
139,154,2023-02-03,,UPS,Delivered
140,155,2025-04-18,,BlueDart,Delivered
141,156,2025-07-23,,DTDC,Delivered
142,157,2022-09-03,,DHL,Delivered
143,158,2022-11-03,,UPS,Delivered
144,159,2023-05-09,2023-05-14,BlueDart,Returned
145,160,2023-12-23,2023-12-28,FedEx,Returned
146,161,2024-10-13,,BlueDart,Delivered
147,162,2023-02-06,,FedEx,Delivered
148,163,2022-07-30,,DHL,Delivered
149,164,2023-12-20,,BlueDart,Delivered
150,165,2025-04-04,,BlueDart,Delivered
151,166,2025-01-04,,DHL,Delivered
152,167,2025-03-21,,DTDC,Delivered
153,168,2025-06-09,,FedEx,Delivered
154,169,2022-03-21,,FedEx,Delivered
155,170,2025-01-01,,DHL,Delivered
156,171,2023-10-13,,UPS,Delivered
157,172,2022-11-25,,FedEx,Delivered
158,173,2025-04-08,,DHL,Delivered
159,174,2023-08-03,,DHL,Delivered
160,175,2022-10-30,,DHL,Delivered
161,176,2025-09-09,,FedEx,Delivered
162,177,2025-04-20,,BlueDart,Delivered
163,178,2025-11-03,2025-11-08,UPS,Returned
164,179,2023-09-25,,DHL,Delivered
165,180,2022-02-19,,DHL,Delivered
166,181,2025-09-08,,DHL,Delivered
167,182,2024-05-06,,BlueDart,Delivered
168,183,2023-04-07,,DTDC,Delivered
169,184,2025-01-25,,FedEx,Delivered
170,186,2025-01-15,,FedEx,Delivered
171,187,2024-05-21,,UPS,Delivered
172,188,2023-03-06,,UPS,Delivered
173,189,2023-12-16,,DTDC,Delivered
174,190,2023-07-21,,UPS,Delivered
175,191,2025-08-10,,DTDC,Delivered
176,192,2023-08-22,,FedEx,Delivered
177,193,2025-09-14,,UPS,Delivered
178,194,2022-08-12,,DTDC,Delivered
179,195,2023-01-05,,FedEx,Delivered
180,196,2023-11-06,,BlueDart,Delivered
181,197,2022-08-02,,DHL,Delivered
182,198,2024-08-31,,UPS,Delivered
183,199,2022-07-19,,DHL,Delivered
184,200,2022-12-20,,FedEx,Delivered
185,201,2025-10-29,,FedEx,Delivered
186,202,2023-12-03,,BlueDart,Delivered
187,203,2022-03-06,,BlueDart,Delivered
188,204,2023-01-11,,BlueDart,Delivered
189,206,2025-07-02,,DHL,Delivered
190,207,2023-11-19,2023-11-24,DTDC,Returned
191,208,2022-03-01,,DHL,Delivered
192,210,2025-04-04,,DHL,Delivered
193,211,2023-07-12,,BlueDart,Delivered
194,212,2023-07-06,2023-07-11,DHL,Returned
195,213,2022-03-31,,DHL,Delivered
196,215,2025-04-25,,DHL,Delivered
197,216,2023-05-15,,DTDC,Delivered
198,217,2022-08-24,,DTDC,Delivered
199,218,2024-01-23,,DHL,Delivered
200,219,2024-01-26,,DHL,Delivered
201,220,2022-02-24,,DHL,Delivered
202,221,2023-01-03,,FedEx,Delivered
203,222,2022-07-14,,DHL,Delivered
204,223,2024-09-06,,BlueDart,Delivered
205,224,2023-03-07,,BlueDart,Delivered
206,226,2024-12-23,,BlueDart,Delivered
207,227,2022-04-23,,BlueDart,Delivered
208,228,2023-09-07,,DHL,Delivered
209,229,2022-02-07,,BlueDart,Delivered
210,230,2024-06-14,,FedEx,Delivered
211,231,2023-08-04,,UPS,Delivered
212,233,2022-09-01,,FedEx,Delivered
213,234,2023-01-05,,BlueDart,Delivered
214,235,2023-04-05,,DHL,Delivered
215,236,2025-07-09,,BlueDart,Delivered
216,237,2025-09-01,,BlueDart,Delivered
217,238,2023-09-10,,UPS,Delivered
218,239,2025-04-21,,FedEx,Delivered
219,240,2022-09-16,,BlueDart,Delivered
220,242,2022-07-29,,DHL,Delivered
221,243,2024-12-21,,UPS,Delivered
222,244,2022-09-01,,BlueDart,Delivered
223,245,2025-03-04,,UPS,Delivered
224,246,2024-01-08,2024-01-13,UPS,Returned
225,247,2023-02-28,,FedEx,Delivered
226,248,2022-07-23,,UPS,Delivered
227,249,2022-08-23,,UPS,Delivered
228,250,2025-03-21,,DTDC,Delivered
229,251,2023-10-23,,DTDC,Delivered
230,252,2025-03-17,,FedEx,Delivered
231,253,2023-02-21,,BlueDart,Delivered
232,254,2025-04-27,,DHL,Delivered
233,255,2022-07-11,,BlueDart,Delivered
234,256,2023-06-29,,UPS,Delivered
235,257,2022-11-17,,DTDC,Delivered
236,258,2023-02-26,,FedEx,Delivered
237,259,2025-06-21,,DTDC,Delivered
238,260,2022-03-30,,UPS,Delivered
239,261,2025-08-09,,FedEx,Delivered
240,262,2024-09-30,,DTDC,Delivered
241,263,2023-04-19,2023-04-24,DTDC,Returned
242,264,2024-12-27,2025-01-01,DHL,Returned
243,265,2023-05-31,,FedEx,Delivered
244,266,2023-05-10,,DTDC,Delivered
245,268,2022-06-13,,BlueDart,Delivered
246,269,2025-08-02,,DTDC,Delivered
247,270,2025-10-17,,DHL,Delivered
248,271,2025-09-27,,DHL,Delivered
249,272,2023-09-22,2023-09-27,BlueDart,Returned
250,273,2025-09-03,,BlueDart,Delivered
251,274,2023-11-24,,FedEx,Delivered
252,275,2025-05-23,,FedEx,Delivered
253,276,2023-10-21,,BlueDart,Delivered
254,277,2024-03-16,,DHL,Delivered
255,278,2024-04-15,,UPS,Delivered
256,279,2023-06-30,,FedEx,Delivered
257,280,2024-03-19,,DTDC,Delivered
258,281,2023-07-12,,UPS,Delivered
259,282,2023-06-24,,DHL,Delivered
260,283,2025-02-14,,UPS,Delivered
261,284,2026-01-01,,BlueDart,Delivered
262,286,2025-03-03,,FedEx,Delivered
263,287,2023-12-18,,UPS,Delivered
264,288,2024-01-05,,FedEx,Delivered
265,289,2024-06-05,2024-06-10,DTDC,Returned
266,290,2023-04-04,,BlueDart,Delivered
267,291,2025-02-27,,FedEx,Delivered
268,292,2023-09-02,,FedEx,Delivered
269,293,2024-02-21,,UPS,Delivered
270,294,2024-11-29,,BlueDart,Delivered
271,295,2024-08-20,,UPS,Delivered
272,296,2023-07-14,,DHL,Delivered
273,297,2022-05-05,,FedEx,Delivered
274,298,2025-03-08,,UPS,Delivered
275,299,2023-10-25,,FedEx,Delivered
276,300,2024-01-25,,FedEx,Delivered
277,301,2025-12-17,,BlueDart,Delivered
278,302,2023-09-24,2023-09-29,UPS,Returned
279,303,2024-06-07,,UPS,Delivered
280,304,2023-11-08,,UPS,Delivered
281,305,2024-12-19,,BlueDart,Delivered
282,306,2025-09-30,2025-10-05,DTDC,Returned
283,307,2022-08-12,,UPS,Delivered
284,308,2022-03-06,,UPS,Delivered
285,309,2022-08-09,2022-08-14,FedEx,Returned
286,310,2024-09-09,2024-09-14,DTDC,Returned
287,312,2023-05-05,,DTDC,Delivered
288,313,2023-10-03,,BlueDart,Delivered
289,314,2023-03-03,,BlueDart,Delivered
290,315,2022-03-23,,DTDC,Delivered
291,316,2023-05-05,,DHL,Delivered
292,317,2024-02-12,2024-02-17,DHL,Returned
293,318,2024-12-23,,DHL,Delivered
294,319,2022-07-08,2022-07-13,FedEx,Returned
295,320,2025-01-27,,DTDC,Delivered
296,322,2022-07-12,,FedEx,Delivered
297,324,2025-06-12,,DTDC,Delivered
298,325,2025-08-23,,FedEx,Delivered
299,326,2025-04-04,,DTDC,Delivered
300,327,2024-09-02,,FedEx,Delivered
301,328,2023-09-28,,BlueDart,Delivered
302,329,2025-07-24,,FedEx,Delivered
303,330,2022-02-22,,DTDC,Delivered
304,331,2022-08-31,,DTDC,Delivered
305,332,2023-09-02,,FedEx,Delivered
306,333,2024-03-26,,FedEx,Delivered
307,334,2023-07-19,,BlueDart,Delivered
308,335,2023-06-03,,FedEx,Delivered
309,336,2023-01-23,,UPS,Delivered
310,337,2025-11-03,,UPS,Delivered
311,339,2024-06-18,,DHL,Delivered
312,340,2025-04-08,,DHL,Delivered
313,341,2022-03-25,2022-03-30,DHL,Returned
314,342,2023-06-14,,DHL,Delivered
315,343,2024-09-21,,DHL,Delivered
316,344,2023-08-04,,BlueDart,Delivered
317,345,2025-03-05,,DTDC,Delivered
318,346,2024-09-14,,BlueDart,Delivered
319,347,2023-08-28,,DHL,Delivered
320,349,2023-06-26,,UPS,Delivered
321,350,2023-03-29,,BlueDart,Delivered
322,351,2024-07-01,,DTDC,Delivered
323,352,2025-11-06,,UPS,Delivered
324,354,2023-07-11,2023-07-16,BlueDart,Returned
325,355,2022-11-06,,UPS,Delivered
326,356,2023-01-05,,DHL,Delivered
327,357,2024-10-03,2024-10-08,BlueDart,Returned
328,358,2025-05-18,,DHL,Delivered
329,359,2025-05-27,,DTDC,Delivered
330,360,2024-11-17,,DTDC,Delivered
331,361,2024-10-11,,FedEx,Delivered
332,362,2025-06-13,,UPS,Delivered
333,363,2023-05-10,,FedEx,Delivered
334,364,2023-03-25,,DHL,Delivered
335,365,2022-08-30,,DTDC,Delivered
336,366,2022-07-01,,BlueDart,Delivered
337,367,2025-04-26,,UPS,Delivered
338,368,2023-11-25,,UPS,Delivered
339,369,2023-12-31,,UPS,Delivered
340,370,2023-11-04,,DTDC,Delivered
341,371,2025-04-06,2025-04-11,BlueDart,Returned
342,372,2023-07-12,,DHL,Delivered
343,374,2025-09-25,,BlueDart,Delivered
344,375,2023-07-13,,FedEx,Delivered
345,376,2023-03-13,,BlueDart,Delivered
346,377,2022-12-30,,UPS,Delivered
347,378,2022-04-27,,DTDC,Delivered
348,379,2023-02-03,,UPS,Delivered
349,380,2025-09-05,,BlueDart,Delivered
350,381,2024-06-14,,UPS,Delivered
351,382,2023-09-19,,FedEx,Delivered
352,383,2022-02-25,,DHL,Delivered
353,384,2023-10-13,,DTDC,Delivered
354,385,2022-04-14,,DHL,Delivered
355,386,2024-05-26,,DTDC,Delivered
356,387,2023-02-12,,DHL,Delivered
357,388,2023-05-22,,BlueDart,Delivered
358,389,2024-07-19,,FedEx,Delivered
359,390,2023-09-27,,DHL,Delivered
360,391,2024-02-26,,DHL,Delivered
361,393,2023-06-26,,BlueDart,Delivered
362,394,2025-10-26,,BlueDart,Delivered
363,395,2025-06-27,,DTDC,Delivered
364,396,2022-04-22,,DHL,Delivered
365,397,2025-02-05,,DHL,Delivered
366,398,2022-08-15,,BlueDart,Delivered
367,399,2022-04-19,,UPS,Delivered
368,400,2023-01-06,,BlueDart,Delivered
369,401,2022-11-03,2022-11-08,DHL,Returned
370,402,2024-10-10,,DTDC,Delivered
371,403,2024-06-28,,DHL,Delivered
372,405,2023-08-31,,BlueDart,Delivered
373,407,2022-04-22,2022-04-27,DTDC,Returned
374,408,2023-08-10,,UPS,Delivered
375,409,2023-09-06,,DHL,Delivered
376,410,2025-01-16,,FedEx,Delivered
377,411,2023-12-27,,FedEx,Delivered
378,412,2022-12-19,,DHL,Delivered
379,413,2023-03-06,,DHL,Delivered
380,414,2022-09-09,2022-09-14,FedEx,Returned
381,415,2022-09-23,,FedEx,Delivered
382,416,2024-01-12,,UPS,Delivered
383,417,2024-05-14,,FedEx,Delivered
384,418,2022-10-08,2022-10-13,DHL,Returned
385,419,2025-03-16,,UPS,Delivered
386,420,2025-12-10,,DHL,Delivered
387,421,2022-09-28,,FedEx,Delivered
388,422,2024-08-07,,BlueDart,Delivered
389,423,2023-10-19,2023-10-24,DHL,Returned
390,424,2023-11-27,,FedEx,Delivered
391,425,2025-05-18,,FedEx,Delivered
392,426,2025-01-01,,FedEx,Delivered
393,428,2023-10-08,2023-10-13,DTDC,Returned
394,429,2025-07-23,,BlueDart,Delivered
395,430,2022-02-09,2022-02-14,FedEx,Returned
396,431,2025-08-31,,BlueDart,Delivered
397,432,2024-08-14,,FedEx,Delivered
398,433,2024-12-03,,UPS,Delivered
399,434,2023-08-25,,UPS,Delivered
400,436,2023-03-24,,UPS,Delivered
401,437,2024-12-08,,UPS,Delivered
402,438,2024-05-14,,UPS,Delivered
403,439,2022-11-13,,FedEx,Delivered
404,440,2022-01-08,,BlueDart,Delivered
405,441,2023-09-21,,UPS,Delivered
406,442,2025-09-22,,FedEx,Delivered
407,443,2024-01-18,,DTDC,Delivered
408,444,2022-10-16,2022-10-21,BlueDart,Returned
409,446,2023-11-18,,UPS,Delivered
410,447,2025-12-06,,UPS,Delivered
411,448,2022-10-17,,DTDC,Delivered
412,450,2022-01-25,,DTDC,Delivered
413,451,2024-04-04,,FedEx,Delivered
414,452,2025-05-14,,FedEx,Delivered
415,453,2023-05-03,,FedEx,Delivered
416,455,2023-05-16,,DTDC,Delivered
417,456,2024-01-31,,FedEx,Delivered
418,457,2024-02-14,,UPS,Delivered
419,459,2025-10-15,,DTDC,Delivered
420,460,2023-01-25,,FedEx,Delivered
421,461,2022-01-28,,FedEx,Delivered
422,462,2024-05-14,2024-05-19,DTDC,Returned
423,463,2025-09-24,2025-09-29,BlueDart,Returned
424,464,2023-11-22,,FedEx,Delivered
425,465,2025-12-01,2025-12-06,FedEx,Returned
426,466,2023-06-15,,UPS,Delivered
427,467,2023-12-06,,BlueDart,Delivered
428,468,2023-02-04,2023-02-09,BlueDart,Returned
429,469,2025-02-16,,BlueDart,Delivered
430,471,2022-01-16,,DTDC,Delivered
431,473,2022-01-07,2022-01-12,UPS,Returned
432,474,2024-12-14,,DTDC,Delivered
433,475,2023-04-28,,DTDC,Delivered
434,476,2024-11-10,,BlueDart,Delivered
435,477,2023-04-26,,UPS,Delivered
436,478,2024-02-18,,DHL,Delivered
437,479,2022-11-04,2022-11-09,DTDC,Returned
438,480,2022-06-26,,FedEx,Delivered
439,482,2022-07-18,2022-07-23,UPS,Returned
440,483,2025-03-16,,DTDC,Delivered
441,484,2025-12-01,,UPS,Delivered
442,485,2024-04-13,,UPS,Delivered
443,486,2023-12-29,2024-01-03,FedEx,Returned
444,488,2024-10-01,,FedEx,Delivered
445,489,2022-02-20,,FedEx,Delivered
446,490,2023-01-29,,DHL,Delivered
447,492,2025-10-25,,BlueDart,Delivered
448,493,2024-09-26,2024-10-01,BlueDart,Returned
449,495,2023-07-03,2023-07-08,DTDC,Returned
450,496,2025-11-07,,UPS,Delivered
451,497,2022-05-18,,UPS,Delivered
452,498,2024-08-28,,UPS,Delivered
453,499,2024-05-15,,UPS,Delivered
454,500,2024-06-15,,UPS,Delivered
455,501,2022-03-11,,UPS,Delivered
456,502,2023-04-18,2023-04-23,DTDC,Returned
457,504,2022-09-30,,DHL,Delivered
458,505,2023-06-24,,DHL,Delivered
459,506,2024-03-22,,DHL,Delivered
460,507,2023-11-14,,DHL,Delivered
461,508,2023-03-29,,FedEx,Delivered
462,509,2022-01-21,2022-01-26,BlueDart,Returned
463,510,2025-06-01,,FedEx,Delivered
464,511,2025-09-01,,BlueDart,Delivered
465,512,2026-01-03,2026-01-08,FedEx,Returned
466,513,2024-03-25,,BlueDart,Delivered
467,514,2022-02-01,,DHL,Delivered
468,515,2025-11-17,,BlueDart,Delivered
469,516,2024-10-07,,DHL,Delivered
470,517,2024-12-25,,DTDC,Delivered
471,518,2023-04-27,2023-05-02,DTDC,Returned
472,519,2023-06-28,,DTDC,Delivered
473,520,2022-04-10,,FedEx,Delivered
474,521,2024-05-15,,FedEx,Delivered
475,523,2023-06-24,,DHL,Delivered
476,524,2025-03-10,,DHL,Delivered
477,525,2022-01-29,,FedEx,Delivered
478,526,2023-11-05,,DHL,Delivered
479,527,2023-08-16,,BlueDart,Delivered
480,528,2025-12-20,,DTDC,Delivered
481,529,2024-09-01,,DTDC,Delivered
482,530,2025-10-25,,DHL,Delivered
483,531,2023-12-09,,FedEx,Delivered
484,532,2025-04-27,2025-05-02,UPS,Returned
485,533,2025-06-27,,DHL,Delivered
486,534,2023-09-09,,DTDC,Delivered
487,535,2023-01-18,,DTDC,Delivered
488,536,2022-08-07,,BlueDart,Delivered
489,537,2022-04-29,,FedEx,Delivered
490,539,2022-11-15,,DHL,Delivered
491,540,2023-12-08,,BlueDart,Delivered
492,542,2025-01-07,,FedEx,Delivered
493,543,2024-05-14,,DTDC,Delivered
494,544,2023-02-08,,FedEx,Delivered
495,545,2024-05-20,,BlueDart,Delivered
496,546,2024-07-13,,BlueDart,Delivered
497,547,2024-07-12,,UPS,Delivered
498,548,2025-05-29,,BlueDart,Delivered
499,549,2024-12-18,,BlueDart,Delivered
500,550,2025-11-20,,DTDC,Delivered
501,551,2023-06-24,2023-06-29,BlueDart,Returned
502,552,2023-02-25,,DTDC,Delivered
503,553,2023-04-12,2023-04-17,DHL,Returned
504,554,2025-07-13,,UPS,Delivered
505,555,2022-12-31,,BlueDart,Delivered
506,556,2023-05-19,2023-05-24,FedEx,Returned
507,557,2022-05-02,,UPS,Delivered
508,558,2022-09-23,,DHL,Delivered
509,559,2022-01-23,,DTDC,Delivered
510,562,2024-04-16,,FedEx,Delivered
511,563,2022-12-08,,FedEx,Delivered
512,564,2023-03-21,,DTDC,Delivered
513,565,2024-09-22,,DHL,Delivered
514,566,2025-11-08,,BlueDart,Delivered
515,567,2023-06-29,2023-07-04,UPS,Returned
516,568,2025-12-02,,DTDC,Delivered
517,569,2024-10-01,,UPS,Delivered
518,570,2024-06-17,,DHL,Delivered
519,571,2024-10-30,,DTDC,Delivered
520,572,2025-10-29,,DTDC,Delivered
521,573,2022-10-04,,BlueDart,Delivered
522,574,2024-05-31,,BlueDart,Delivered
523,575,2025-06-05,,DHL,Delivered
524,576,2024-01-06,,FedEx,Delivered
525,577,2022-05-15,,FedEx,Delivered
526,579,2025-08-13,,BlueDart,Delivered
527,580,2023-04-30,,DHL,Delivered
528,581,2022-10-07,,FedEx,Delivered
529,582,2023-11-02,,FedEx,Delivered
530,583,2024-01-14,,BlueDart,Delivered
531,584,2025-07-13,,UPS,Delivered
532,585,2025-07-31,,DHL,Delivered
533,586,2025-06-25,,DTDC,Delivered
534,587,2022-01-11,2022-01-16,DTDC,Returned
535,588,2024-01-06,2024-01-11,FedEx,Returned
536,589,2025-06-30,,UPS,Delivered
537,590,2024-04-16,,DHL,Delivered
538,591,2025-09-10,,DHL,Delivered
539,592,2025-05-26,,FedEx,Delivered
540,593,2023-07-17,,FedEx,Delivered
541,594,2024-12-17,2024-12-22,FedEx,Returned
542,595,2022-03-25,2022-03-30,DTDC,Returned
543,596,2024-12-25,,BlueDart,Delivered
544,598,2022-10-11,,DTDC,Delivered
545,599,2024-06-19,,FedEx,Delivered
546,600,2024-09-01,,UPS,Delivered
547,601,2025-10-13,,FedEx,Delivered
548,602,2023-05-24,2023-05-29,FedEx,Returned
549,603,2025-04-16,,DHL,Delivered
550,604,2025-08-08,,DHL,Delivered
551,605,2023-08-13,,FedEx,Delivered
552,606,2024-05-24,,DTDC,Delivered
553,607,2025-03-08,,DTDC,Delivered
554,608,2022-04-04,,DHL,Delivered
555,609,2022-05-11,,UPS,Delivered
556,610,2025-05-27,2025-06-01,DHL,Returned
557,611,2023-06-08,,BlueDart,Delivered
558,612,2024-08-25,,DTDC,Delivered
559,613,2022-12-27,,DHL,Delivered
560,614,2022-07-20,2022-07-25,DTDC,Returned
561,615,2023-04-26,,UPS,Delivered
562,616,2022-11-26,,UPS,Delivered
563,617,2024-03-11,,FedEx,Delivered
564,618,2024-11-23,,DTDC,Delivered
565,619,2025-10-31,,BlueDart,Delivered
566,620,2023-07-30,,FedEx,Delivered
567,621,2023-11-29,,DHL,Delivered
568,622,2025-02-26,,DTDC,Delivered
569,623,2023-05-01,,UPS,Delivered
570,624,2025-05-16,,BlueDart,Delivered
571,625,2025-10-21,2025-10-26,DHL,Returned
572,626,2023-06-29,,FedEx,Delivered
573,629,2025-07-05,,FedEx,Delivered
574,630,2024-11-08,,BlueDart,Delivered
575,631,2025-08-05,,UPS,Delivered
576,632,2023-06-28,,FedEx,Delivered
577,633,2023-04-25,,UPS,Delivered
578,634,2022-03-17,,BlueDart,Delivered
579,635,2025-09-02,,UPS,Delivered
580,637,2023-06-05,,DTDC,Delivered
581,638,2023-04-09,,DHL,Delivered
582,639,2024-01-22,,DTDC,Delivered
583,640,2022-08-17,,FedEx,Delivered
584,641,2022-07-18,,DHL,Delivered
585,643,2023-05-16,,DHL,Delivered
586,644,2023-08-31,,DHL,Delivered
587,645,2025-12-06,,UPS,Delivered
588,646,2022-12-13,,FedEx,Delivered
589,647,2023-02-13,,FedEx,Delivered
590,649,2024-08-25,,BlueDart,Delivered
591,651,2025-01-14,,DTDC,Delivered
592,652,2023-02-25,,DHL,Delivered
593,653,2025-05-08,,DHL,Delivered
594,654,2023-10-19,2023-10-24,UPS,Returned
595,655,2025-06-03,,BlueDart,Delivered
596,656,2025-12-28,,BlueDart,Delivered
597,657,2024-05-08,,DHL,Delivered
598,658,2025-08-27,,FedEx,Delivered
599,659,2024-07-26,,DTDC,Delivered
600,660,2024-06-19,,FedEx,Delivered
601,661,2023-04-13,,FedEx,Delivered
602,662,2024-08-03,,BlueDart,Delivered
603,663,2023-07-11,,FedEx,Delivered
604,664,2024-03-07,,BlueDart,Delivered
605,666,2025-11-15,,BlueDart,Delivered
606,667,2024-11-16,,BlueDart,Delivered
607,668,2023-03-03,,FedEx,Delivered
608,669,2023-01-15,,BlueDart,Delivered
609,670,2023-04-04,,DHL,Delivered
610,672,2023-06-10,,DHL,Delivered
611,674,2024-06-23,,FedEx,Delivered
612,675,2024-03-15,,UPS,Delivered
613,677,2022-07-15,,BlueDart,Delivered
614,678,2023-06-25,,BlueDart,Delivered
615,679,2022-07-26,,DHL,Delivered
616,680,2024-05-24,,BlueDart,Delivered
617,681,2022-05-23,,UPS,Delivered
618,682,2025-07-30,,DHL,Delivered
619,683,2025-03-06,2025-03-11,DHL,Returned
620,684,2022-01-08,2022-01-13,FedEx,Returned
621,685,2024-03-03,,FedEx,Delivered
