order_id,order_date,customer_id,seller_id,order_status
123,2024-03-07,354,19,Inprogress
124,2025-09-04,230,8,Completed
125,2024-02-12,863,37,Cancelled
126,2022-07-18,437,34,Completed
127,2024-07-13,425,42,Completed
128,2025-01-26,326,23,Completed
129,2025-09-12,364,19,Completed
130,2024-06-14,885,30,Completed
131,2024-12-09,398,8,Completed
132,2022-11-15,622,24,Completed
133,2023-01-09,343,43,Completed
134,2024-03-30,230,50,Completed
135,2025-03-13,870,39,Completed
136,2022-03-01,760,20,Completed
137,2023-05-03,78,35,Completed
138,2025-01-04,524,44,Cancelled
139,2023-08-17,354,2,Completed
140,2023-07-19,772,21,Completed
141,2024-12-10,820,22,Cancelled
142,2022-12-11,458,54,Returned
143,2022-11-20,384,16,Completed
144,2024-06-09,316,42,Completed
145,2025-11-26,659,33,Returned
146,2024-12-28,163,16,Cancelled
147,2023-04-06,572,25,Completed
148,2025-07-07,866,9,Completed
149,2025-04-07,2,13,Inprogress
150,2025-08-29,747,3,Completed
151,2022-09-07,17,5,Completed
152,2022-10-21,640,10,Completed
153,2025-07-10,111,11,Completed
154,2023-01-31,81,34,Completed
155,2025-04-15,823,30,Completed
156,2025-07-20,560,42,Completed
157,2022-08-31,356,37,Completed
158,2022-10-31,68,32,Completed
159,2023-05-06,282,23,Returned
160,2023-12-20,621,37,Returned
161,2024-10-10,168,18,Completed
162,2023-02-03,86,24,Completed
163,2022-07-27,166,42,Completed
164,2023-12-17,168,52,Completed
165,2025-04-01,826,14,Completed
166,2025-01-01,505,27,Completed
167,2025-03-18,727,7,Completed
168,2025-06-06,154,46,Completed
169,2022-03-18,800,28,Completed
170,2024-12-29,113,53,Completed
171,2023-10-10,521,29,Completed
172,2022-11-22,512,32,Completed
173,2025-04-05,359,46,Completed
174,2023-07-31,311,40,Completed
175,2022-10-27,533,7,Completed
176,2025-09-06,578,3,Completed
177,2025-04-17,559,40,Completed
178,2025-10-31,804,33,Returned
179,2023-09-22,340,19,Completed
180,2022-02-16,455,52,Completed
181,2025-09-05,757,12,Completed
182,2024-05-03,124,29,Completed
183,2023-04-04,393,22,Completed
184,2025-01-22,75,38,Completed
185,2022-08-19,152,42,Inprogress
186,2025-01-12,658,27,Completed
187,2024-05-18,880,46,Completed
188,2023-03-03,197,37,Completed
189,2023-12-13,377,38,Completed
190,2023-07-18,734,53,Completed
191,2025-08-07,862,38,Completed
192,2023-08-19,285,52,Completed
193,2025-09-11,856,6,Completed
194,2022-08-09,678,37,Completed
195,2023-01-02,580,11,Completed
196,2023-11-03,96,22,Completed
197,2022-07-30,43,44,Completed
198,2024-08-28,5,22,Completed
199,2022-07-16,367,23,Completed
200,2022-12-17,608,10,Completed
201,2025-10-26,407,3,Completed
202,2023-11-30,625,5,Completed
203,2022-03-03,816,39,Completed
204,2023-01-08,77,44,Completed
205,2023-08-21,294,52,Cancelled
206,2025-06-29,247,34,Completed
207,2023-11-16,315,39,Returned
208,2022-02-26,82,18,Completed
209,2024-02-14,357,17,Cancelled
210,2025-04-01,241,36,Completed
211,2023-07-09,55,13,Completed
212,2023-07-03,672,22,Returned
213,2022-03-28,467,24,Completed
214,2025-07-29,617,54,Cancelled
215,2025-04-22,439,10,Completed
216,2023-05-12,1,51,Completed
217,2022-08-21,308,9,Completed
218,2024-01-20,753,23,Completed
219,2024-01-23,47,35,Completed
220,2022-02-21,782,12,Completed
221,2022-12-31,836,38,Completed
222,2022-07-11,675,16,Completed
223,2024-09-03,370,48,Completed
224,2023-03-04,180,16,Completed
225,2023-05-07,366,21,Cancelled
226,2024-12-20,32,52,Completed
227,2022-04-20,81,30,Completed
228,2023-09-04,160,34,Completed
229,2022-02-04,217,50,Completed
230,2024-06-11,15,41,Completed
231,2023-08-01,88,46,Completed
232,2022-10-28,514,24,Cancelled
233,2022-08-29,210,39,Completed
234,2023-01-02,61,18,Completed
235,2023-04-02,390,35,Completed
236,2025-07-06,734,5,Completed
237,2025-08-29,328,43,Completed
238,2023-09-07,366,47,Completed
239,2025-04-18,59,30,Completed
240,2022-09-13,231,8,Completed
241,2024-10-16,725,32,Cancelled
242,2022-07-26,150,7,Completed
243,2024-12-18,768,14,Completed
244,2022-08-29,165,42,Completed
245,2025-03-01,581,30,Completed
246,2024-01-05,666,11,Returned
247,2023-02-25,722,25,Completed
248,2022-07-20,714,21,Completed
249,2022-08-20,819,10,Completed
250,2025-03-18,746,45,Completed
251,2023-10-20,732,27,Completed
252,2025-03-14,15,46,Completed
253,2023-02-18,366,12,Completed
254,2025-04-24,627,48,Completed
255,2022-07-08,305,20,Completed
256,2023-06-26,577,14,Completed
257,2022-11-14,832,16,Completed
258,2023-02-23,331,23,Completed
259,2025-06-18,547,5,Completed
260,2022-03-27,103,25,Completed
261,2025-08-06,354,18,Completed
262,2024-09-27,794,19,Completed
263,2023-04-16,759,11,Returned
264,2024-12-24,181,5,Returned
265,2023-05-28,459,16,Completed
266,2023-05-07,320,29,Completed
267,2025-06-27,499,14,Cancelled
268,2022-06-10,315,5,Completed
269,2025-07-30,379,30,Completed
270,2025-10-14,103,49,Completed
271,2025-09-24,128,15,Completed
272,2023-09-19,56,49,Returned
273,2025-08-31,623,43,Completed
274,2023-11-21,863,10,Completed
275,2025-05-20,777,17,Completed
276,2023-10-18,281,44,Completed
277,2024-03-13,213,32,Completed
278,2024-04-12,725,37,Completed
279,2023-06-27,449,5,Completed
280,2024-03-16,45,28,Completed
281,2023-07-09,799,20,Completed
282,2023-06-21,321,25,Completed
283,2025-02-11,308,24,Completed
284,2025-12-29,43,12,Completed
285,2023-06-08,785,33,Inprogress
286,2025-02-28,711,17,Completed
287,2023-12-15,493,46,Completed
288,2024-01-02,694,4,Completed
289,2024-06-02,429,42,Returned
290,2023-04-01,250,44,Completed
291,2025-02-24,564,9,Completed
292,2023-08-30,368,9,Completed
293,2024-02-18,62,49,Completed
294,2024-11-26,65,13,Completed
295,2024-08-17,848,39,Completed
296,2023-07-11,477,16,Completed
297,2022-05-02,327,42,Completed
298,2025-03-05,868,48,Completed
299,2023-10-22,627,26,Completed
300,2024-01-22,771,42,Completed
301,2025-12-14,560,37,Completed
302,2023-09-21,92,20,Returned
303,2024-06-04,445,13,Completed
304,2023-11-05,875,20,Completed
305,2024-12-16,233,54,Completed
306,2025-09-27,837,34,Returned
307,2022-08-09,352,29,Completed
308,2022-03-03,245,24,Completed
309,2022-08-06,628,10,Returned
310,2024-09-06,422,4,Returned
311,2022-12-08,617,23,Inprogress
312,2023-05-02,440,39,Completed
313,2023-09-30,733,6,Completed
314,2023-02-28,58,43,Completed
315,2022-03-20,833,36,Completed
316,2023-05-02,848,11,Completed
317,2024-02-09,437,44,Returned
318,2024-12-20,524,27,Completed
319,2022-07-05,334,3,Returned
320,2025-01-24,315,7,Completed
321,2024-11-24,341,49,Cancelled
322,2022-07-09,857,28,Completed
323,2022-03-25,166,13,Cancelled
324,2025-06-09,114,33,Completed
325,2025-08-20,877,26,Completed
326,2025-04-01,86,13,Completed
327,2024-08-30,290,16,Completed
328,2023-09-25,149,53,Completed
329,2025-07-21,335,54,Completed
330,2022-02-19,731,11,Completed
331,2022-08-28,264,46,Completed
332,2023-08-30,402,40,Completed
333,2024-03-23,252,25,Completed
334,2023-07-16,693,37,Completed
335,2023-05-31,314,29,Completed
336,2023-01-20,764,44,Completed
337,2025-10-31,80,7,Completed
338,2025-08-07,784,33,Inprogress
339,2024-06-15,280,48,Completed
340,2025-04-05,158,51,Completed
341,2022-03-22,548,31,Returned
342,2023-06-11,743,46,Completed
343,2024-09-18,687,35,Completed
344,2023-08-01,360,48,Completed
345,2025-03-02,505,21,Completed
346,2024-09-11,850,33,Completed
347,2023-08-25,859,15,Completed
348,2023-06-13,479,2,Cancelled
349,2023-06-23,267,3,Completed
350,2023-03-26,514,44,Completed
351,2024-06-28,506,45,Completed
352,2025-11-03,389,41,Completed
353,2025-09-02,382,23,Inprogress
354,2023-07-08,353,47,Returned
355,2022-11-03,345,33,Completed
356,2023-01-02,162,48,Completed
357,2024-09-30,204,51,Returned
358,2025-05-15,573,8,Completed
359,2025-05-24,289,40,Completed
360,2024-11-14,128,16,Completed
361,2024-10-08,507,42,Completed
362,2025-06-10,90,30,Completed
363,2023-05-07,326,4,Completed
364,2023-03-22,24,21,Completed
365,2022-08-27,312,16,Completed
366,2022-06-28,848,34,Completed
367,2025-04-23,829,32,Completed
368,2023-11-22,121,7,Completed
369,2023-12-28,885,36,Completed
370,2023-11-01,804,15,Completed
371,2025-04-03,806,15,Returned
372,2023-07-09,601,37,Completed
373,2025-05-09,671,1,Cancelled
374,2025-09-22,325,12,Completed
375,2023-07-10,501,50,Completed
376,2023-03-10,404,37,Completed
377,2022-12-27,360,23,Completed
378,2022-04-24,873,16,Completed
379,2023-01-31,16,51,Completed
380,2025-09-02,376,12,Completed
381,2024-06-11,425,9,Completed
382,2023-09-16,428,15,Completed
383,2022-02-22,736,44,Completed
384,2023-10-10,355,52,Completed
385,2022-04-11,731,20,Completed
386,2024-05-23,564,27,Completed
387,2023-02-09,859,27,Completed
388,2023-05-19,7,25,Completed
389,2024-07-16,674,33,Completed
390,2023-09-24,457,41,Completed
391,2024-02-23,897,15,Completed
392,2024-10-03,329,2,Cancelled
393,2023-06-23,672,39,Completed
394,2025-10-23,218,24,Completed
395,2025-06-24,702,5,Completed
396,2022-04-19,508,35,Completed
397,2025-02-02,137,22,Completed
398,2022-08-12,731,49,Completed
399,2022-04-16,438,32,Completed
400,2023-01-03,69,26,Completed
401,2022-10-31,204,42,Returned
402,2024-10-07,70,10,Completed
403,2024-06-25,147,34,Completed
404,2022-05-05,492,12,Inprogress
405,2023-08-28,793,11,Completed
406,2024-04-26,713,49,Inprogress
407,2022-04-19,110,21,Returned
408,2023-08-07,423,49,Completed
409,2023-09-03,105,10,Completed
410,2025-01-13,638,39,Completed
411,2023-12-24,2,32,Completed
412,2022-12-16,537,1,Completed
413,2023-03-03,891,25,Completed
414,2022-09-06,838,54,Returned
415,2022-09-20,230,13,Completed
416,2024-01-09,363,4,Completed
417,2024-05-11,226,12,Completed
418,2022-10-05,682,48,Returned
419,2025-03-13,885,21,Completed
420,2025-12-07,417,5,Completed
421,2022-09-25,645,30,Completed
422,2024-08-04,181,12,Completed
423,2023-10-16,513,30,Returned
424,2023-11-24,777,46,Completed
425,2025-05-15,550,52,Completed
426,2024-12-29,707,6,Completed
427,2025-11-14,794,18,Inprogress
428,2023-10-05,292,25,Returned
429,2025-07-20,777,10,Completed
430,2022-02-06,661,40,Returned
431,2025-08-28,81,47,Completed
432,2024-08-11,626,16,Completed
433,2024-11-30,552,21,Completed
434,2023-08-22,313,45,Completed
435,2022-05-26,839,14,Cancelled
436,2023-03-21,715,28,Completed
437,2024-12-05,125,17,Completed
438,2024-05-11,210,50,Completed
439,2022-11-10,688,5,Completed
440,2022-01-05,688,10,Completed
441,2023-09-18,500,41,Completed
442,2025-09-19,85,4,Completed
443,2024-01-15,494,7,Completed
444,2022-10-13,182,6,Returned
445,2024-08-23,424,30,Inprogress
446,2023-11-15,54,12,Completed
447,2025-12-03,764,16,Completed
448,2022-10-14,705,15,Completed
449,2024-03-10,495,46,Inprogress
450,2022-01-22,32,53,Completed
451,2024-04-01,814,48,Completed
452,2025-05-11,401,46,Completed
453,2023-04-30,898,19,Completed
454,2022-06-28,877,30,Cancelled
455,2023-05-13,652,20,Completed
456,2024-01-28,8,51,Completed
457,2024-02-11,186,1,Completed
458,2024-02-03,654,6,Inprogress
459,2025-10-12,827,6,Completed
460,2023-01-22,306,43,Completed
461,2022-01-25,472,36,Completed
462,2024-05-11,606,18,Returned
463,2025-09-21,98,47,Returned
464,2023-11-19,194,31,Completed
465,2025-11-28,461,23,Returned
466,2023-06-12,717,37,Completed
467,2023-12-03,432,49,Completed
468,2023-02-01,787,36,Returned
469,2025-02-13,63,37,Completed
470,2023-12-01,352,31,Cancelled
471,2022-01-13,519,40,Completed
472,2025-08-24,690,44,Inprogress
473,2022-01-04,842,29,Returned
474,2024-12-11,180,35,Completed
475,2023-04-25,768,51,Completed
476,2024-11-07,631,33,Completed
477,2023-04-23,843,5,Completed
478,2024-02-15,648,47,Completed
479,2022-11-01,648,54,Returned
480,2022-06-23,236,17,Completed
481,2024-08-31,807,21,Cancelled
482,2022-07-15,131,39,Returned
483,2025-03-13,529,51,Completed
484,2025-11-28,741,45,Completed
485,2024-04-10,74,45,Completed
486,2023-12-26,722,4,Returned
487,2022-06-21,138,14,Inprogress
488,2024-09-28,380,48,Completed
489,2022-02-17,542,2,Completed
490,2023-01-26,104,16,Completed
491,2023-01-04,555,10,Inprogress
492,2025-10-22,33,18,Completed
493,2024-09-23,695,11,Returned
494,2023-04-11,692,15,Inprogress
495,2023-06-30,245,37,Returned
496,2025-11-04,63,45,Completed
497,2022-05-15,736,1,Completed
498,2024-08-25,388,8,Completed
499,2024-05-12,286,39,Completed
500,2024-06-12,752,3,Completed
501,2022-03-08,896,3,Completed
502,2023-04-15,787,9,Returned
503,2022-03-18,835,43,Cancelled
504,2022-09-27,653,44,Completed
505,2023-06-21,267,29,Completed
506,2024-03-19,371,17,Completed
507,2023-11-11,175,42,Completed
508,2023-03-26,83,30,Completed
509,2022-01-18,194,47,Returned
510,2025-05-29,119,23,Completed
511,2025-08-29,829,49,Completed
512,2025-12-31,343,29,Returned
513,2024-03-22,586,51,Completed
514,2022-01-29,300,5,Completed
515,2025-11-14,697,49,Completed
516,2024-10-04,128,14,Completed
517,2024-12-22,74,13,Completed
518,2023-04-24,749,1,Returned
519,2023-06-25,175,35,Completed
520,2022-04-07,397,28,Completed
521,2024-05-12,714,33,Completed
522,2022-06-16,559,27,Cancelled
523,2023-06-21,440,6,Completed
524,2025-03-07,736,33,Completed
525,2022-01-26,399,47,Completed
526,2023-11-02,667,12,Completed
527,2023-08-13,780,5,Completed
528,2025-12-17,327,14,Completed
529,2024-08-29,382,53,Completed
530,2025-10-22,646,39,Completed
531,2023-12-06,239,50,Completed
532,2025-04-24,439,29,Returned
533,2025-06-24,176,23,Completed
534,2023-09-06,681,29,Completed
535,2023-01-15,830,46,Completed
536,2022-08-04,602,8,Completed
537,2022-04-26,771,17,Completed
538,2022-02-24,312,54,Inprogress
539,2022-11-12,898,51,Completed
540,2023-12-05,435,51,Completed
541,2023-07-18,314,33,Inprogress
542,2025-01-04,370,42,Completed
543,2024-05-11,759,35,Completed
544,2023-02-05,722,9,Completed
545,2024-05-17,791,10,Completed
546,2024-07-10,585,38,Completed
547,2024-07-09,195,31,Completed
548,2025-05-26,732,22,Completed
549,2024-12-15,47,10,Completed
550,2025-11-17,605,39,Completed
551,2023-06-21,854,4,Returned
552,2023-02-22,85,24,Completed
553,2023-04-09,419,23,Returned
554,2025-07-10,784,7,Completed
555,2022-12-28,838,44,Completed
556,2023-05-16,382,53,Returned
557,2022-04-29,785,41,Completed
558,2022-09-20,456,35,Completed
559,2022-01-20,475,26,Completed
560,2025-05-24,402,33,Cancelled
561,2023-04-18,204,23,Inprogress
562,2024-04-13,617,38,Completed
563,2022-12-05,690,30,Completed
564,2023-03-18,784,8,Completed
565,2024-09-19,888,54,Completed
566,2025-11-05,897,3,Completed
567,2023-06-26,686,20,Returned
568,2025-11-29,140,51,Completed
569,2024-09-28,849,27,Completed
570,2024-06-14,652,27,Completed
571,2024-10-27,291,5,Completed
572,2025-10-26,61,34,Completed
573,2022-10-01,202,15,Completed
574,2024-05-28,247,33,Completed
575,2025-06-02,580,52,Completed
576,2024-01-03,645,4,Completed
577,2022-05-12,135,35,Completed
578,2025-07-31,191,28,Inprogress
579,2025-08-10,814,9,Completed
580,2023-04-27,490,15,Completed
581,2022-10-04,222,7,Completed
582,2023-10-30,535,47,Completed
583,2024-01-11,86,16,Completed
584,2025-07-10,103,44,Completed
585,2025-07-28,250,10,Completed
586,2025-06-22,518,39,Completed
587,2022-01-08,281,2,Returned
588,2024-01-03,181,43,Returned
589,2025-06-27,233,3,Completed
590,2024-04-13,668,19,Completed
591,2025-09-07,562,4,Completed
592,2025-05-23,704,32,Completed
593,2023-07-14,696,44,Completed
594,2024-12-14,352,5,Returned
595,2022-03-22,300,35,Returned
596,2024-12-22,699,21,Completed
597,2023-06-06,218,19,Cancelled
598,2022-10-08,884,39,Completed
599,2024-06-16,81,45,Completed
600,2024-08-29,845,53,Completed
601,2025-10-10,268,15,Completed
602,2023-05-21,124,13,Returned
603,2025-04-13,31,1,Completed
604,2025-08-05,630,24,Completed
605,2023-08-10,815,9,Completed
606,2024-05-21,276,2,Completed
607,2025-03-05,25,14,Completed
608,2022-04-01,191,32,Completed
609,2022-05-08,79,46,Completed
610,2025-05-24,42,18,Returned
611,2023-06-05,670,33,Completed
612,2024-08-22,88,40,Completed
613,2022-12-24,268,1,Completed
614,2022-07-17,144,44,Returned
615,2023-04-23,609,15,Completed
616,2022-11-23,736,8,Completed
617,2024-03-08,538,6,Completed
618,2024-11-20,392,49,Completed
619,2025-10-28,273,22,Completed
620,2023-07-27,512,31,Completed
621,2023-11-26,324,6,Completed
622,2025-02-23,809,39,Completed
623,2023-04-28,369,7,Completed
624,2025-05-13,622,23,Completed
625,2025-10-18,138,3,Returned
626,2023-06-26,63,53,Completed
627,2024-09-06,592,28,Inprogress
628,2023-07-02,566,29,Cancelled
629,2025-07-02,423,41,Completed
630,2024-11-05,106,14,Completed
631,2025-08-02,788,51,Completed
632,2023-06-25,457,7,Completed
633,2023-04-22,26,18,Completed
634,2022-03-14,106,37,Completed
635,2025-08-30,801,2,Completed
636,2023-01-23,654,8,Cancelled
637,2023-06-02,394,44,Completed
638,2023-04-06,399,37,Completed
639,2024-01-19,326,38,Completed
640,2022-08-14,418,17,Completed
641,2022-07-15,10,46,Completed
642,2022-12-24,63,8,Inprogress
643,2023-05-13,205,19,Completed
644,2023-08-28,449,37,Completed
645,2025-12-03,285,39,Completed
646,2022-12-10,762,48,Completed
647,2023-02-10,401,52,Completed
648,2025-10-19,442,30,Cancelled
649,2024-08-22,598,1,Completed
650,2024-10-20,40,9,Cancelled
651,2025-01-11,368,47,Completed
652,2023-02-22,820,3,Completed
653,2025-05-05,653,1,Completed
654,2023-10-16,591,47,Returned
655,2025-05-31,161,38,Completed
656,2025-12-25,18,19,Completed
657,2024-05-05,392,53,Completed
658,2025-08-24,835,51,Completed
659,2024-07-23,548,11,Completed
660,2024-06-16,224,10,Completed
661,2023-04-10,808,5,Completed
662,2024-07-31,758,9,Completed
663,2023-07-08,893,26,Completed
664,2024-03-04,302,40,Completed
665,2022-06-06,887,1,Cancelled
666,2025-11-12,852,3,Completed
667,2024-11-13,572,12,Completed
668,2023-02-28,515,3,Completed
669,2023-01-12,466,20,Completed
670,2023-04-01,861,46,Completed
671,2025-12-13,102,38,Cancelled
672,2023-06-07,882,14,Completed
673,2025-11-22,94,49,Inprogress
674,2024-06-20,781,15,Completed
675,2024-03-12,447,28,Completed
676,2022-09-11,262,53,Inprogress
677,2022-07-12,624,54,Completed
678,2023-06-22,889,12,Completed
679,2022-07-23,834,22,Completed
680,2024-05-21,597,21,Completed
681,2022-05-20,866,6,Completed
682,2025-07-27,215,6,Completed
683,2025-03-03,337,54,Returned
684,2022-01-05,380,42,Returned
685,2024-02-29,871,1,Completed
686,2023-02-03,753,53,Completed
687,2024-04-05,808,49,Completed
688,2025-03-27,440,30,Completed
689,2025-11-10,710,3,Completed
690,2023-02-17,106,20,Cancelled
691,2023-01-13,834,2,Completed
692,2024-11-14,618,52,Completed
693,2023-10-08,855,29,Returned
694,2025-12-01,645,11,Returned
695,2024-01-03,223,14,Completed
696,2022-02-06,127,37,Completed
697,2025-05-31,797,39,Completed
698,2024-10-09,862,40,Completed
699,2025-12-25,689,41,Completed
700,2024-08-20,1,39,Completed
701,2023-01-15,613,17,Completed
702,2024-10-23,113,7,Completed
703,2024-07-27,274,22,Completed
704,2022-10-07,284,30,Completed
705,2025-01-21,287,32,Completed
706,2023-11-01,625,45,Completed
707,2025-01-23,569,18,Returned
708,2024-09-11,606,42,Completed
709,2022-12-21,21,54,Completed
710,2023-10-04,183,54,Completed
711,2023-03-25,673,39,Completed
712,2024-04-09,225,30,Completed
713,2025-07-02,427,11,Completed
714,2022-03-23,198,46,Returned
715,2025-02-10,656,52,Completed
716,2024-01-09,729,45,Completed
717,2023-01-14,271,30,Completed
718,2024-10-18,577,50,Completed
719,2024-03-05,563,17,Completed
720,2024-09-17,402,44,Completed
721,2022-02-22,587,48,Returned
722,2023-06-24,638,19,Completed
723,2023-06-21,80,45,Completed
724,2024-06-13,219,4,Completed
725,2023-09-04,597,23,Completed
726,2024-12-03,628,53,Completed
727,2022-02-02,891,40,Completed
728,2024-10-28,362,38,Completed
729,2025-12-10,279,49,Completed
730,2023-01-18,444,42,Completed
731,2024-04-29,400,18,Completed
732,2025-10-01,626,26,Completed
733,2022-07-25,841,18,Completed
734,2022-02-21,474,36,Completed
735,2024-05-09,450,25,Completed
736,2025-07-05,724,35,Completed
737,2024-06-10,430,10,Returned
738,2023-06-20,503,4,Returned
739,2025-12-16,304,22,Completed
740,2022-01-01,577,8,Inprogress
741,2024-05-29,278,5,Returned
742,2025-01-03,174,41,Completed
743,2024-12-11,4,50,Returned
744,2025-05-10,771,15,Completed
745,2025-03-11,727,14,Cancelled
746,2022-09-08,129,12,Completed
747,2022-11-09,761,30,Completed
748,2022-10-21,823,48,Returned
749,2022-03-04,857,18,Completed
750,2024-01-21,524,8,Returned
751,2023-06-15,492,46,Completed
752,2025-09-08,570,1,Completed
753,2025-12-07,108,11,Completed
754,2024-02-09,877,31,Completed
755,2025-03-22,887,27,Returned
756,2025-05-08,310,4,Completed
757,2022-08-08,89,31,Completed
758,2022-11-17,674,12,Completed
759,2023-01-26,879,10,Completed
760,2024-05-28,85,26,Completed
761,2023-07-03,323,45,Completed
762,2022-04-10,853,34,Completed
763,2025-03-11,882,53,Completed
764,2025-11-07,131,4,Completed
765,2024-07-26,840,31,Completed
766,2025-07-07,86,1,Completed
767,2022-07-04,100,26,Completed
768,2025-10-23,90,35,Completed
769,2024-02-04,233,4,Completed
770,2023-04-01,73,30,Completed
771,2024-06-28,869,33,Returned
772,2023-12-08,353,29,Completed
773,2024-01-16,767,13,Completed
774,2022-12-01,450,45,Inprogress
775,2022-02-17,327,12,Completed
776,2024-06-11,552,2,Completed
777,2024-07-24,161,54,Completed
778,2022-05-31,198,11,Completed
779,2023-08-02,822,39,Returned
780,2025-08-27,58,44,Completed
781,2022-12-28,639,9,Completed
782,2025-06-07,396,32,Completed
783,2024-11-21,493,40,Completed
784,2022-02-15,573,53,Completed
785,2023-04-18,771,23,Completed
786,2025-08-03,771,45,Completed
787,2024-12-19,179,49,Completed
788,2023-07-28,798,26,Completed
789,2024-02-15,588,44,Cancelled
790,2022-10-12,180,7,Completed
791,2025-09-06,562,22,Completed
792,2023-08-03,48,15,Completed
793,2023-05-09,870,16,Completed
794,2023-01-15,38,28,Completed
795,2024-04-05,224,3,Completed
796,2023-04-08,353,14,Completed
797,2022-02-13,189,31,Returned
798,2023-03-05,87,22,Completed
799,2024-09-02,308,40,Completed
800,2024-09-09,587,28,Completed
801,2022-09-21,5,44,Completed
802,2024-07-17,569,9,Cancelled
803,2024-02-20,746,49,Completed
804,2022-10-13,408,31,Completed
805,2025-09-18,357,38,Completed
806,2023-10-08,117,11,Completed
807,2023-02-03,344,53,Inprogress
808,2023-06-14,768,46,Completed
809,2024-02-09,629,52,Completed
810,2025-05-03,52,14,Completed
811,2022-04-04,71,21,Returned
812,2023-05-05,585,18,Completed
